DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
2021-05-06,500660,1082,1583507,1925,2830058,56.21
2021-05-06,500670,66156,24775422,159556,59159830,41.46
2021-05-06,500672,2392,1547983,5563,3631126,43.0
2021-05-06,500674,2083,16032643,2871,22033542,72.55
2021-05-06,500680,1972,10499224,8798,46939923,22.41
2021-05-06,500690,263693,26501147,518821,51693562,50.83
2021-05-06,500696,13290,31750475,37626,89896379,35.32
2021-05-06,500710,501,1099169,2706,5976038,18.51
2021-05-06,500730,50634,9607802,116680,22268523,43.4
2021-05-06,500770,250073,169136874,929081,631868097,26.92
2021-05-06,500777,155727,13213436,345162,29392832,45.12
2021-05-06,500780,21468,1732468,33295,2679996,64.48
2021-05-06,500790,2800,46835600,3968,66192089,70.56
2021-05-06,500800,186949,122152477,376066,242303524,49.71
2021-05-06,500820,28202,71882668,62620,159404044,45.04
2021-05-06,500825,5512,19017778,12406,42916595,44.43
2021-05-06,500830,5038,7576397,13763,20652990,36.61
2021-05-06,500840,19029,1712610,25950,2307940,73.33
2021-05-06,500850,119417,13440384,244280,27502323,48.89
2021-05-06,500870,57107,7158363,130500,16408048,43.76
2021-05-06,500875,673246,136500627,1469209,299277101,45.82
2021-05-06,500877,49045,10473560,376111,80020646,13.04
2021-05-06,500878,6601,8853262,13517,18284765,48.83
2021-05-06,500890,685,53230,685,53230,100.0
2021-05-06,500940,30115,4743113,47396,7476437,63.54
2021-05-06,501148,42,10303,42,10303,100.0
2021-05-06,501150,61468,1856334,112926,3430122,54.43
2021-05-06,501242,561,2834,561,2848,100.0
2021-05-06,501295,150,8595,171,9830,87.72
2021-05-06,501298,236,271400,241,277425,97.93
2021-05-06,501301,453,477621,1367,1423634,33.14
2021-05-06,501314,11207,839965,13217,994159,84.79
2021-05-06,501343,410,8241,413,8208,99.27
2021-05-06,501370,214,12808,215,12894,99.53
2021-05-06,501391,42,4879,42,4857,100.0
2021-05-06,501423,2704,3339035,3777,4521932,71.59
2021-05-06,501425,1863,2171234,5118,5998050,36.4
2021-05-06,501430,60,30159,80,39575,75.0
2021-05-06,501455,42748,6187773,168357,24021442,25.39
2021-05-06,501477,258,22613,258,22613,100.0
2021-05-06,501622,151,2408,151,2408,100.0
2021-05-06,501700,754,8664,755,8582,99.87
2021-05-06,501831,15289,2623593,19664,3381932,77.75
2021-05-06,501833,4013,19904,4013,19904,100.0
2021-05-06,501848,25527,149333,36939,214354,69.11
2021-05-06,501945,81,180,81,183,100.0
2021-05-06,502015,102665,3112361,102665,3112361,100.0
2021-05-06,502090,2200,1630640,3872,2874240,56.82
2021-05-06,502137,9623,4230752,15959,7010302,60.3
2021-05-06,502157,2054,572142,2422,673359,84.81
2021-05-06,502168,11169,2028849,17908,3268209,62.37
2021-05-06,502175,32763,2134510,42932,2806082,76.31
2021-05-06,502180,18150,1263240,30052,2098990,60.4
2021-05-06,502219,23675,5870217,53804,13403652,44.0
2021-05-06,502271,100,780,100,780,100.0
2021-05-06,502281,8165,46296,8165,45699,100.0
2021-05-06,502330,2764,623282,3859,874691,71.62
2021-05-06,502355,3082,5621260,16403,29982635,18.79
2021-05-06,502420,74283,1860790,121827,3075467,60.97
2021-05-06,502445,2010,18090,2010,18010,100.0
2021-05-06,502448,2773,8292,2990,8869,92.74
2021-05-06,502450,3754,612090,9930,1614846,37.8
2021-05-06,502460,300,9525,300,9525,100.0
2021-05-06,502587,7812,616758,8943,707435,87.35
2021-05-06,502742,185247,629840,308879,1050314,59.97
2021-05-06,502820,8572,230159,11066,290328,77.46
2021-05-06,502865,909,1547391,1058,1783794,85.92
2021-05-06,502873,3598,157773,4620,202496,77.88
2021-05-06,502893,384,8026,384,8026,100.0
2021-05-06,502901,9,17521,10,19329,90.0
2021-05-06,502933,500,6850,500,6850,100.0
2021-05-06,502937,17165,1253045,52324,3854479,32.81
2021-05-06,502958,11,26510,14,33596,78.57
2021-05-06,502986,1224,1554419,2562,3304539,47.78
2021-05-06,503015,205,9430,210,9491,97.62
2021-05-06,503031,40459,283736,40459,283736,100.0
2021-05-06,503092,120,666,120,666,100.0
2021-05-06,503100,695,526254,2551,1942305,27.24
2021-05-06,503101,2675,128668,3476,166642,76.96
2021-05-06,503162,1815,161989,2330,208258,77.9
2021-05-06,503169,2040,361080,2498,443752,81.67
2021-05-06,503229,5,222,5,221,100.0
2021-05-06,503310,3648,475152,70905,9258475,5.14
2021-05-06,503349,121,217921,136,245023,88.97
2021-05-06,503624,3175,15019,3175,15019,100.0
2021-05-06,503641,135335,1154704,135335,1154704,100.0
2021-05-06,503657,8240,65261,10241,80796,80.46
2021-05-06,503663,12859,31505,13527,33233,95.06
2021-05-06,503691,434,15125,469,15906,92.54
2021-05-06,503722,5481,602362,6502,707943,84.3
2021-05-06,503776,50,1195,50,1195,100.0
2021-05-06,503804,2123,948451,2369,1062721,89.62
2021-05-06,503806,2044,14025213,14680,100720883,13.92
2021-05-06,503811,3889,825246,7482,1595819,51.98
2021-05-06,503960,283,318857,381,431105,74.28
2021-05-06,504000,14500,573475,15644,615391,92.69
2021-05-06,504008,5560,8204,5560,8204,100.0
2021-05-06,504028,65792,2634970,70687,2834419,93.08
2021-05-06,504036,5091,665903,6787,878338,75.01
2021-05-06,504058,2583,2129942,2868,2337746,90.06
2021-05-06,504067,10669,2868895,20718,5605873,51.5
2021-05-06,504076,1990,21890,2148,23539,92.64
2021-05-06,504084,1,2865,2,5635,50.0
2021-05-06,504092,18877,729597,24604,937099,76.72
2021-05-06,504093,2186,455563,2717,567059,80.46
2021-05-06,504112,5965,1190913,8815,1778370,67.67
2021-05-06,504132,4894,1395280,7081,2043536,69.11
2021-05-06,504176,1075,819688,1596,1226794,67.36
2021-05-06,504180,227,8275,227,8274,100.0
2021-05-06,504212,13890,2303657,38291,6243575,36.27
2021-05-06,504220,501,1949,501,1949,100.0
2021-05-06,504240,5325,216728,7565,300218,70.39
2021-05-06,504258,570,172169,767,233881,74.32
2021-05-06,504273,42380,524241,62619,765699,67.68
2021-05-06,504286,700,20300,787,23098,88.95
2021-05-06,504335,901866,204343,901866,204343,100.0
2021-05-06,504340,37,155,37,154,100.0
2021-05-06,504341,263,8430,404,12848,65.1
2021-05-06,504356,1,9,1,9,100.0
2021-05-06,504378,16988,92074,16988,92074,100.0
2021-05-06,504380,5,34,5,34,100.0
2021-05-06,504392,24,260,24,260,100.0
2021-05-06,504614,26934,15853353,52514,31271077,51.29
2021-05-06,504646,737,106865,1097,164321,67.18
2021-05-06,504697,1033,1177,1033,1177,100.0
2021-05-06,504741,1976,345010,2771,485278,71.31
2021-05-06,504786,1616,379518,2318,548182,69.72
2021-05-06,504810,51,1479,51,1529,100.0
2021-05-06,504879,21801,551566,29160,736550,74.76
2021-05-06,504882,57,32898,98,56676,58.16
2021-05-06,504908,255,29721,407,50425,62.65
2021-05-06,504918,9880,14556204,14018,20783216,70.48
2021-05-06,504959,276,503797,310,571382,89.03
2021-05-06,504961,13488,669680,19002,935959,70.98
2021-05-06,504966,31376,6689364,120827,25462785,25.97
2021-05-06,504973,403,231403,1685,975349,23.92
