Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date,company
2021-04-26,0.46,0.46,0.46,0.46,0.46,6000,2,2760.0,6000.0,100.0,0.0,0.0,1619395200.0,532902
2021-04-29,361.25,361.25,345.65,349.65,351.246875,1600,154,561995.0,1257.0,78.56,15.6,-11.6,1619654400.0,537291
2021-04-30,16.5,18.0,16.45,16.45,16.78,50,5,839.0,30.0,60.0,1.55,-0.05,1619740800.0,531390
2021-04-29,3.29,3.3,3.29,3.29,3.2900324756432675,4003,6,13170.0,4003.0,100.0,0.01,0.0,1619654400.0,502448
2021-04-30,12.56,12.56,12.56,12.56,12.5,10,1,125.0,10.0,100.0,0.0,0.0,1619740800.0,531067
2021-04-30,98.0,98.5,93.0,94.35,95.42246234446628,15270,253,1457101.0,10075.0,65.98,5.5,-3.65,1619740800.0,530233
2021-04-30,23.0,23.4,22.5,22.7,22.854803886290032,5558,52,127027.0,5558.0,100.0,0.9,-0.3,1619740800.0,526415
2021-04-30,1.52,1.62,1.52,1.62,1.5993794326241133,11280,9,18041.0,11280.0,100.0,0.1,0.1,1619740800.0,526859
2021-04-29,5.82,5.94,5.75,5.85,5.859569368103484,24197,77,141784.0,20362.0,84.15,0.19,0.03,1619654400.0,500193
2021-04-30,1.65,1.65,1.65,1.65,1.6499643790073617,4211,8,6948.0,4211.0,100.0,0.0,0.0,1619740800.0,530263
2021-04-30,1.04,1.14,1.04,1.04,1.0396825396825395,252,5,262.0,252.0,100.0,0.1,0.0,1619740800.0,526683
2021-04-29,101.6,101.6,96.65,97.0,98.16734904969184,69609,864,6833331.0,21895.0,31.45,4.95,-4.6,1619654400.0,500412
2021-04-30,7466.0,7510.0,7250.0,7331.75,7366.607438016529,726,259,5348157.0,476.0,65.56,260.0,-134.25,1619740800.0,532742
2021-04-30,15.2,15.95,15.2,15.2,15.255924170616112,211,7,3219.0,211.0,100.0,0.75,0.0,1619740800.0,530617
2021-04-30,35.2,35.2,32.35,33.0,32.99051747493904,3691,43,121768.0,2971.0,80.49,2.85,-2.2,1619740800.0,530825
2021-04-22,26.5,26.95,26.5,26.95,26.65,300,2,7995.0,300.0,100.0,0.45,0.45,1619049600.0,531227
2021-04-19,2.19,2.19,2.19,2.19,2.0,2,1,4.0,2.0,100.0,0.0,0.0,1618790400.0,530943
